age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
41,9,1,1,0,1270,1,0,2,5,5,1389,1,-1,0,3,1
42,4,2,2,0,0,1,1,2,5,5,562,2,-1,0,3,1
37,9,1,1,0,1,1,0,2,6,5,608,1,-1,0,3,1
38,0,2,1,0,100,1,0,2,7,5,786,1,-1,0,3,1
30,1,1,1,0,309,1,0,2,7,5,1574,2,-1,0,3,1
29,4,1,2,0,199,1,1,2,7,5,1689,4,-1,0,3,1
46,1,2,2,0,460,1,0,2,7,5,1102,2,-1,0,3,1
31,9,2,2,0,703,1,0,2,8,5,943,2,-1,0,3,1
32,1,2,0,0,611,1,0,2,8,5,541,3,-1,0,3,1
41,0,1,1,0,55,1,0,2,8,5,1120,2,-1,0,3,1
28,0,0,1,0,785,1,0,2,8,5,442,2,-1,0,3,1
43,4,2,2,0,2067,1,0,2,8,5,756,1,-1,0,3,1
43,4,0,2,0,388,1,0,2,8,5,2087,2,-1,0,3,1
43,1,1,0,0,-192,1,0,2,8,5,1120,2,-1,0,3,1
37,10,2,1,0,381,1,0,2,8,5,985,2,-1,0,3,1
35,1,2,1,0,40,1,0,2,9,5,617,4,-1,0,3,1
31,9,2,2,0,22,1,0,2,9,5,483,3,-1,0,3,1
43,1,2,1,0,3,1,0,2,9,5,929,3,-1,0,3,1
31,0,1,1,0,307,1,0,2,9,5,538,1,-1,0,3,1
28,1,2,1,0,759,1,0,2,9,5,710,1,-1,0,3,1
32,1,1,1,1,-1,1,0,2,9,5,653,1,-1,0,3,1
40,1,1,1,0,10,1,0,2,9,5,1692,2,-1,0,3,1
33,1,0,0,0,390,1,0,2,9,5,665,2,-1,0,3,1
32,4,2,2,0,311,0,0,2,12,5,757,2,-1,0,3,1
35,1,1,0,0,414,0,0,2,13,5,504,4,-1,0,3,1
33,4,0,1,0,5,1,0,2,13,5,1346,1,-1,0,3,1
38,4,1,2,0,119,1,0,2,13,5,568,4,-1,0,3,1
48,4,1,2,0,1949,1,0,2,13,5,683,2,-1,0,3,1
45,2,0,2,0,-395,1,0,2,13,5,470,1,-1,0,3,1
36,1,1,1,0,1165,1,0,2,13,5,1001,4,-1,0,3,1
35,1,0,0,0,300,1,0,2,13,5,945,2,-1,0,3,1
48,1,0,0,0,24,1,0,2,14,5,832,1,-1,0,3,1
41,1,2,0,0,1618,1,0,2,14,5,1553,1,-1,0,3,1
39,4,0,2,0,517,1,1,2,14,5,1328,1,-1,0,3,1
48,1,1,1,0,1405,1,0,2,14,5,629,2,-1,0,3,1
40,0,1,1,0,1535,1,0,2,14,5,704,1,-1,0,3,1
48,1,1,1,0,1596,1,0,2,14,5,760,1,-1,0,3,1
41,1,1,1,0,1384,1,0,2,15,5,1162,4,-1,0,3,1
44,1,1,3,0,146,1,0,2,15,5,483,1,-1,0,3,1
40,7,1,0,0,-9,1,0,2,15,5,920,2,-1,0,3,1
41,0,1,0,0,-306,1,0,2,15,5,500,1,-1,0,3,1
41,5,0,0,0,-233,1,0,2,15,5,1156,2,-1,0,3,1
41,1,1,0,0,2453,1,0,2,15,5,1052,1,-1,0,3,1
42,9,2,1,0,1364,1,0,2,15,5,1867,6,-1,0,3,1
36,7,2,3,0,281,1,0,2,16,5,515,1,-1,0,3,1
