iter	Logloss
0	0.6757298732
1	0.6631500233
2	0.6513784376
3	0.6395870601
4	0.6293822219
5	0.6160107489
6	0.606718394
7	0.594915407
8	0.5862536844
9	0.577682033
10	0.5723344034
11	0.563794615
12	0.5557383668
13	0.5484302662
14	0.5424590647
15	0.5360463786
16	0.5295001786
17	0.5237579168
18	0.5187712802
19	0.5123743418
20	0.5054981949
21	0.49977614
22	0.494031255
23	0.4885209381
24	0.4841788597
25	0.4802922492
26	0.4768342416
27	0.4733884654
28	0.4699998334
29	0.4654115471
30	0.4607401692
31	0.4575147509
32	0.4538711904
33	0.4498776765
34	0.4466713218
35	0.4431510984
36	0.440802165
37	0.4384950513
38	0.4360048672
39	0.4334400036
40	0.4315742112
41	0.4282637493
42	0.4260460614
43	0.4237833557
44	0.4213737295
45	0.4191330652
46	0.4173185754
47	0.4151230179
48	0.4127040778
49	0.4112715801
50	0.4085145554
51	0.4062329361
52	0.4040306649
53	0.4019889901
54	0.4002196069
55	0.3984842951
56	0.3971496004
57	0.395217146
58	0.3935173718
59	0.3918786196
60	0.3901678913
61	0.388583519
62	0.3872240167
63	0.3856616177
64	0.3841769656
65	0.3829918359
66	0.3812591855
67	0.3800813615
68	0.3784350276
69	0.37729408
70	0.3761156379
71	0.3754004377
72	0.3744532203
73	0.3730965994
74	0.3721713035
75	0.3710670142
76	0.3701357571
77	0.3688358482
78	0.3676912887
79	0.3667122859
80	0.3658992111
81	0.3645219531
82	0.363234964
83	0.3621668341
84	0.3605423825
85	0.3594345817
86	0.3586608461
87	0.3578584587
88	0.3570024466
89	0.356182684
90	0.3553882739
91	0.3545272533
92	0.3535781244
93	0.3528168006
94	0.352125867
95	0.3511559299
96	0.3502935578
97	0.3496271929
98	0.3486655986
99	0.3479193625
100	0.3471859283
101	0.3466234719
102	0.3458478722
103	0.3452786462
104	0.3446290969
105	0.3440336382
106	0.3434233944
107	0.3430455446
108	0.3425667183
109	0.3418255581
110	0.3412872045
111	0.3405118616
112	0.3398761241
113	0.3390718017
114	0.3384843826
115	0.3374212443
116	0.3368821047
117	0.3361841663
118	0.3354843154
119	0.3347763274
120	0.3341025738
121	0.3334841843
122	0.3326984799
123	0.3323115506
124	0.3318931233
125	0.3313611838
126	0.3307968783
127	0.3303805313
128	0.3299770975
129	0.3296037741
130	0.32896931
131	0.3284496099
132	0.3279399831
133	0.3275720232
134	0.3272374116
135	0.3267635587
136	0.3264565894
137	0.3258800518
138	0.3252902227
139	0.3247090291
140	0.3241209038
141	0.3238011385
142	0.3234571654
143	0.3227797743
144	0.3222968201
145	0.322014774
146	0.3214270817
147	0.3211635067
148	0.32081679
149	0.3203831042
150	0.3198041619
151	0.319476736
152	0.3190092843
153	0.3187136526
154	0.3182663687
155	0.3179057504
156	0.3174467304
157	0.3170205733
158	0.3165379456
159	0.3160630743
160	0.3156658897
161	0.31540813
162	0.3152728868
163	0.3149143453
164	0.3146404306
165	0.3143576531
166	0.3139176936
167	0.3137542102
168	0.3135903819
169	0.3132905346
170	0.3131293201
171	0.312661648
172	0.3122690096
173	0.311692895
174	0.3112697333
175	0.3109746781
176	0.3103501156
177	0.3100632452
178	0.3098178444
179	0.3094516513
180	0.3092029998
181	0.3086908991
182	0.3084585839
183	0.3079913389
184	0.3075232246
185	0.3072470283
186	0.306845312
187	0.3065551614
188	0.3063093124
189	0.3058729127
190	0.3054770689
191	0.3053089962
192	0.304930279
193	0.3046896345
194	0.3045028454
195	0.3041809802
196	0.3039662151
197	0.3035396638
198	0.3033087198
199	0.3030718269
200	0.3028563517
201	0.3026127577
202	0.3024431297
203	0.3020502352
204	0.3016530151
205	0.3014024188
206	0.3009503614
207	0.3007396245
208	0.3003419497
209	0.3000355997
210	0.2996631755
211	0.299487638
212	0.2992261875
213	0.2988808278
214	0.2985993337
215	0.2983158793
216	0.2981108869
217	0.2979293448
218	0.2975738972
219	0.2972339644
220	0.296915824
221	0.2966904814
222	0.2963388
223	0.2959472714
224	0.2957193011
225	0.2953812854
226	0.2950684128
227	0.2948456865
228	0.2945426678
229	0.2942453987
230	0.2940049369
231	0.293862363
232	0.2934861613
233	0.2932060875
234	0.2928432477
235	0.2926214312
236	0.2922118163
237	0.2919403386
238	0.2915669344
239	0.2913604817
240	0.2911154351
241	0.2909625987
242	0.2907883726
243	0.2906144833
244	0.2903139471
245	0.2900156943
246	0.2898475425
247	0.2894447447
248	0.2892049589
249	0.2889261134
250	0.2888079511
251	0.2886517554
252	0.2884211373
253	0.288207755
254	0.2879592201
255	0.2876054734
256	0.2874299029
257	0.2871874188
258	0.2869891872
259	0.2867523242
260	0.2865914494
261	0.2863757446
262	0.2862065919
263	0.2859439947
264	0.2857208588
265	0.2856136076
266	0.2853341796
267	0.2852280345
268	0.2849098242
269	0.2846375114
270	0.2843870096
271	0.2840823567
272	0.2839613612
273	0.2837469641
274	0.2835879342
275	0.2834153415
276	0.2832066279
277	0.2830078685
278	0.2827204873
279	0.2825195539
280	0.2823018794
281	0.28209333
282	0.2819410596
283	0.2817698431
284	0.2815658523
285	0.281493902
286	0.2813872141
287	0.2812116402
288	0.2810708459
289	0.2808516851
290	0.2806343488
291	0.2804528235
292	0.2802450955
293	0.2801205719
294	0.2798842052
295	0.2796409731
296	0.2793470485
297	0.2790351269
298	0.2788248266
299	0.2785882403
300	0.278403177
301	0.2781439984
302	0.2778285504
303	0.2776110876
304	0.2773805088
305	0.2772037056
306	0.2770116609
307	0.2768122296
308	0.2766645838
309	0.2764265167
310	0.2760701731
311	0.2759325649
312	0.2757380267
313	0.2755672962
314	0.2753603603
315	0.2750754093
316	0.2749375069
317	0.2747421409
318	0.2745677534
319	0.2744203704
320	0.2741136938
321	0.2739262033
322	0.2738167057
323	0.2734422054
324	0.2733077426
325	0.2731516362
326	0.2729678393
327	0.2727828748
328	0.2727121333
329	0.2724410503
330	0.2723306932
331	0.2721360573
332	0.2720027405
333	0.2718464532
334	0.271577553
335	0.2713824521
336	0.2711771454
337	0.2710564598
338	0.2706736016
339	0.2704461178
340	0.270359469
341	0.2702031224
342	0.2700690031
343	0.2697903155
344	0.2695552532
345	0.2692187802
346	0.2690380584
347	0.2688238719
348	0.268650096
349	0.2685105526
350	0.2682988051
351	0.268078509
352	0.2679472128
353	0.2677179975
354	0.2675541889
355	0.2673701259
356	0.267152736
357	0.2670182797
358	0.2668472936
359	0.2666520932
360	0.2664667665
361	0.2663094069
362	0.2661403885
363	0.265887273
364	0.2654827473
365	0.2652796739
366	0.2650978258
367	0.2648690896
368	0.2646693984
369	0.2643776793
370	0.2641960923
371	0.2639031754
372	0.2636766103
373	0.2635578578
374	0.2634183017
375	0.2632086792
376	0.2631036729
377	0.2629556241
378	0.262818094
379	0.2626712746
380	0.2625179711
381	0.2621844235
382	0.2620820105
383	0.2618924396
384	0.2617634179
385	0.2615350926
386	0.261322292
387	0.2611481117
388	0.2608902804
389	0.2605826852
390	0.2603835619
391	0.260244648
392	0.2600109016
393	0.2597874356
394	0.2595807374
395	0.2594040783
396	0.2592747724
397	0.25899607
398	0.2588009531
399	0.2586667181
400	0.2584296931
401	0.2583662181
402	0.2582192411
403	0.2581346021
404	0.2580729223
405	0.2578987513
406	0.2576693855
407	0.2574111361
408	0.2573184635
409	0.2571352897
410	0.2570586373
411	0.2569164495
412	0.2566857613
413	0.256550936
414	0.2563720485
415	0.2561594304
416	0.2560604642
417	0.2558887875
418	0.2556286978
419	0.2554665331
420	0.2552835905
421	0.2551538022
422	0.254984756
423	0.2548743802
424	0.2547554106
425	0.2545122004
426	0.2543907081
427	0.2541886101
428	0.2538889478
429	0.2537262378
430	0.2535716608
431	0.2534436799
432	0.2533194189
433	0.2531889721
434	0.2530548428
435	0.2529157906
436	0.2526862648
437	0.2525398958
438	0.2523102043
439	0.2521643326
440	0.2518834832
441	0.2517745885
442	0.2516772346
443	0.2514494188
444	0.2513290503
445	0.2511443553
446	0.2509939215
447	0.250807759
448	0.2505776085
449	0.2504642222
450	0.250337167
451	0.2501303109
452	0.2500087576
453	0.2498576148
454	0.2496911354
455	0.2494954785
456	0.2493691721
457	0.2492534739
458	0.2490628955
459	0.2489509329
460	0.2487340907
461	0.2485672182
462	0.2484016178
463	0.2482094439
464	0.2479932065
465	0.2478957692
466	0.2477734752
467	0.2475933076
468	0.2474154865
469	0.2471744275
470	0.2470119763
471	0.2468373084
472	0.2466398606
473	0.2465255765
474	0.2464128432
475	0.2462971612
476	0.2461549304
477	0.246000762
478	0.2458560041
479	0.2457210985
480	0.2455928842
481	0.2454275999
482	0.24516879
483	0.244883941
484	0.2447346347
485	0.2446101252
486	0.2445195366
487	0.2443714819
488	0.244267167
489	0.2439768398
490	0.2438565154
491	0.2436059174
492	0.2435243038
493	0.2433482161
494	0.243103579
495	0.2429502529
496	0.2427419161
497	0.2425815782
498	0.2424059493
499	0.2422914968
500	0.2421290791
501	0.2419103708
502	0.2416403552
503	0.2414954174
504	0.2412797374
505	0.2411235787
506	0.241001786
507	0.2408225554
508	0.2406566236
509	0.2404925072
510	0.2403646609
511	0.2402300039
512	0.239953663
513	0.23977954
514	0.2396402567
515	0.2394523048
516	0.2392905343
517	0.2390836263
518	0.238900678
519	0.2387456913
520	0.2386558501
521	0.2384876519
522	0.2383415771
523	0.2381154004
524	0.2378987497
525	0.2376866826
526	0.2375232423
527	0.237402982
528	0.2372524058
529	0.2370714477
530	0.2369347004
531	0.2368188394
532	0.2366412459
533	0.2364636437
534	0.236183129
535	0.2360257291
536	0.2357971586
537	0.2356283994
538	0.2353901653
539	0.2353057677
540	0.2351242667
541	0.2350051666
542	0.2348347341
543	0.2346806707
544	0.2345580004
545	0.2343891705
546	0.2342978887
547	0.2341865842
548	0.2341245176
549	0.2339548744
550	0.2337569251
551	0.2336011349
552	0.2334750043
553	0.2333291615
554	0.2332042408
555	0.2330578496
556	0.2329227156
557	0.2326475757
558	0.2325103481
559	0.2323657378
560	0.2322624503
561	0.2321263358
562	0.2319988249
563	0.2317865938
564	0.2316653359
565	0.2315562405
566	0.2315074379
567	0.2313355994
568	0.231136158
569	0.2309119532
570	0.2308102419
571	0.2307034937
572	0.2305098596
573	0.2303457701
574	0.2302175676
575	0.2300834192
576	0.2299621312
577	0.2297691158
578	0.2296073331
579	0.2294959467
580	0.2293707991
581	0.2292381021
582	0.229147157
583	0.228954701
584	0.228815622
585	0.2286275536
586	0.2284960183
587	0.2283105508
588	0.2281490905
589	0.2280196739
590	0.2277756994
591	0.2276449433
592	0.2275049609
593	0.2273347035
594	0.2272220271
595	0.2269789989
596	0.2268097416
597	0.2266083507
598	0.2264341389
599	0.2262934199
600	0.2261834228
601	0.2260060039
602	0.2258962712
603	0.2257958741
604	0.2256949082
605	0.2255178294
606	0.2253699964
607	0.2252129169
608	0.2250853672
609	0.2248509383
610	0.2247313584
611	0.2245729652
612	0.2244305814
613	0.2242785241
614	0.2241357539
615	0.2240040914
616	0.2238278485
617	0.2236585599
618	0.223509779
619	0.2233551607
620	0.2232133667
621	0.2230458601
622	0.2229304644
623	0.222805845
624	0.2226780067
625	0.2225440499
626	0.2224059841
627	0.2222588912
628	0.2221630116
629	0.2220927873
630	0.2219726798
631	0.2218537261
632	0.2216783356
633	0.2215372233
