iter	Passed	Remaining
0	4	4468
1	8	4290
2	14	4725
3	17	4468
4	24	4831
5	30	5096
6	34	4909
7	38	4767
8	42	4712
9	48	4773
10	50	4569
11	54	4511
12	61	4671
13	67	4760
14	73	4798
15	79	4908
16	86	5003
17	92	5060
18	98	5104
19	103	5095
20	108	5065
21	115	5128
22	121	5142
23	127	5179
24	133	5199
25	138	5180
26	145	5239
27	150	5241
28	156	5242
29	161	5223
30	166	5190
31	170	5156
32	176	5165
33	180	5135
34	185	5110
35	190	5108
36	196	5110
37	200	5072
38	204	5040
39	210	5054
40	214	5015
41	219	5009
42	225	5014
43	229	4991
44	236	5008
45	241	5004
46	247	5024
47	254	5043
48	259	5044
49	265	5050
50	273	5084
51	279	5091
52	285	5095
53	292	5121
54	297	5118
55	304	5136
56	309	5121
57	314	5110
58	320	5111
59	326	5112
60	331	5096
61	336	5094
62	341	5074
63	346	5064
64	351	5060
65	356	5050
66	360	5024
67	365	5005
68	371	5010
69	376	4995
70	380	4973
71	385	4969
72	389	4948
73	394	4936
74	400	4935
75	406	4937
76	411	4927
77	416	4926
78	422	4924
79	426	4909
80	431	4897
81	437	4896
82	442	4889
83	447	4882
84	453	4879
85	457	4864
86	462	4850
87	467	4848
88	471	4830
89	476	4819
90	482	4822
91	487	4810
92	492	4807
93	499	4816
94	505	4814
95	511	4813
96	516	4806
97	520	4790
98	525	4783
99	531	4780
100	535	4767
101	541	4763
102	548	4772
103	553	4767
104	558	4760
105	564	4761
106	570	4759
107	574	4748
108	581	4749
109	586	4743
110	590	4726
111	596	4730
112	601	4721
113	605	4705
114	610	4700
115	615	4686
116	618	4669
117	624	4664
118	628	4655
119	633	4644
120	637	4630
121	642	4625
122	646	4610
123	650	4596
124	655	4587
125	660	4582
126	665	4577
127	671	4573
128	678	4582
129	684	4577
130	689	4576
131	695	4573
132	700	4568
133	706	4564
134	711	4560
135	717	4557
136	722	4552
137	726	4539
138	731	4532
139	736	4522
140	741	4515
141	745	4503
142	750	4498
143	757	4504
144	763	4500
145	769	4498
146	774	4496
147	780	4493
148	785	4485
149	790	4479
150	795	4473
151	801	4469
152	806	4466
153	812	4463
154	817	4454
155	822	4448
156	826	4435
157	830	4424
158	834	4416
159	840	4411
160	845	4406
161	851	4403
162	855	4392
163	860	4387
164	866	4384
165	871	4377
166	875	4364
167	879	4354
168	884	4348
169	889	4343
170	895	4339
171	900	4337
172	906	4333
173	910	4323
174	916	4321
175	922	4319
176	927	4314
177	934	4313
178	938	4304
179	942	4293
180	946	4282
181	951	4278
182	956	4271
183	962	4266
184	966	4259
185	971	4251
186	975	4243
187	982	4242
188	987	4238
189	993	4234
190	998	4230
191	1003	4223
192	1008	4217
193	1012	4208
194	1017	4200
195	1021	4191
196	1025	4180
197	1031	4177
198	1037	4174
199	1043	4173
200	1049	4171
201	1055	4169
202	1061	4166
203	1066	4159
204	1071	4153
205	1076	4151
206	1082	4147
207	1087	4142
208	1093	4138
209	1098	4133
210	1104	4128
211	1110	4126
212	1115	4121
213	1120	4113
214	1125	4110
215	1131	4107
216	1136	4100
217	1141	4095
218	1146	4088
219	1151	4082
220	1156	4076
221	1161	4071
222	1166	4064
223	1171	4056
224	1176	4051
225	1180	4044
226	1185	4038
227	1190	4032
228	1195	4025
229	1200	4019
230	1205	4014
231	1210	4008
232	1215	4000
233	1221	3996
234	1226	3994
235	1232	3990
236	1238	3988
237	1243	3982
238	1248	3975
239	1253	3969
240	1259	3965
241	1263	3959
242	1268	3953
243	1273	3946
244	1278	3939
245	1282	3932
246	1288	3929
247	1293	3923
248	1298	3915
249	1302	3908
250	1307	3901
251	1312	3895
252	1317	3889
253	1322	3885
254	1327	3878
255	1332	3871
256	1337	3866
257	1343	3863
258	1347	3856
259	1352	3849
260	1357	3843
261	1361	3836
262	1367	3831
263	1372	3826
264	1377	3820
265	1383	3816
266	1389	3815
267	1394	3809
268	1400	3804
269	1405	3800
270	1410	3793
271	1416	3789
272	1420	3782
273	1425	3776
274	1430	3771
275	1436	3768
276	1441	3762
277	1446	3756
278	1451	3750
279	1455	3743
280	1460	3737
281	1466	3733
282	1471	3727
283	1475	3720
284	1481	3715
285	1485	3708
286	1490	3701
287	1495	3697
288	1500	3691
289	1505	3685
290	1510	3680
291	1515	3674
292	1519	3667
293	1524	3661
294	1530	3657
295	1535	3651
296	1540	3646
297	1545	3640
298	1550	3635
299	1555	3629
300	1560	3624
301	1565	3619
302	1570	3612
303	1575	3607
304	1580	3601
305	1585	3595
306	1590	3590
307	1596	3586
308	1601	3581
309	1606	3576
310	1611	3570
311	1616	3564
312	1621	3559
313	1626	3553
314	1631	3547
315	1636	3541
316	1642	3538
317	1647	3533
318	1652	3527
319	1657	3522
320	1662	3516
321	1667	3510
322	1673	3506
323	1677	3500
324	1682	3494
325	1687	3488
326	1691	3481
327	1696	3475
328	1701	3469
329	1707	3467
330	1713	3462
331	1717	3456
332	1722	3450
333	1727	3444
334	1732	3439
335	1738	3435
336	1742	3429
337	1747	3423
338	1753	3418
339	1758	3413
340	1764	3409
341	1769	3404
342	1774	3398
343	1778	3392
344	1784	3387
345	1789	3382
346	1794	3377
347	1799	3372
348	1804	3366
349	1809	3360
350	1814	3354
351	1819	3349
352	1824	3343
353	1828	3337
354	1833	3331
355	1838	3325
356	1843	3320
357	1848	3314
358	1853	3309
359	1858	3303
360	1862	3297
361	1868	3292
362	1873	3287
363	1879	3283
364	1884	3278
365	1889	3272
366	1893	3266
367	1898	3261
368	1903	3255
369	1908	3250
370	1914	3245
371	1919	3240
372	1924	3234
373	1930	3230
374	1935	3226
375	1940	3220
376	1946	3216
377	1951	3210
378	1956	3205
379	1961	3200
380	1967	3196
381	1972	3190
382	1977	3185
383	1982	3180
384	1987	3174
385	1992	3169
386	1997	3164
387	2002	3159
388	2007	3152
389	2013	3148
390	2018	3143
391	2022	3137
392	2028	3132
393	2032	3126
394	2037	3120
395	2042	3114
396	2047	3109
397	2051	3103
398	2056	3098
399	2062	3093
400	2067	3088
401	2071	3081
402	2076	3075
403	2081	3070
404	2085	3064
405	2090	3058
406	2095	3053
407	2100	3047
408	2105	3041
409	2110	3036
410	2114	3030
411	2119	3024
412	2124	3020
413	2129	3013
414	2134	3008
415	2140	3004
416	2145	2999
417	2149	2993
418	2155	2989
419	2160	2983
420	2165	2978
421	2170	2972
422	2175	2968
423	2180	2962
424	2186	2957
425	2191	2953
426	2197	2948
427	2202	2944
428	2207	2938
429	2212	2933
430	2217	2927
431	2222	2922
432	2227	2916
433	2232	2910
434	2237	2905
435	2242	2900
436	2247	2895
437	2253	2891
438	2258	2886
439	2263	2880
440	2269	2877
441	2276	2874
442	2281	2868
443	2286	2863
444	2291	2858
445	2296	2853
446	2301	2847
447	2306	2842
448	2311	2836
449	2316	2831
450	2321	2825
451	2325	2819
452	2330	2814
453	2335	2809
454	2340	2803
455	2344	2797
456	2350	2792
457	2354	2786
458	2359	2780
459	2372	2785
460	2382	2785
461	2393	2786
462	2399	2783
463	2406	2779
464	2415	2778
465	2422	2776
466	2432	2775
467	2441	2775
468	2447	2770
469	2453	2766
470	2461	2765
471	2471	2765
472	2477	2760
473	2482	2754
474	2487	2749
475	2493	2744
476	2498	2739
477	2504	2734
478	2509	2729
479	2515	2724
480	2520	2719
481	2525	2714
482	2530	2708
483	2535	2702
484	2540	2698
485	2546	2693
486	2551	2687
487	2556	2682
488	2562	2677
489	2567	2671
490	2572	2666
491	2577	2661
492	2582	2655
493	2586	2649
494	2591	2644
495	2596	2638
496	2601	2632
497	2606	2627
498	2612	2622
499	2616	2616
500	2622	2612
501	2627	2606
502	2632	2600
503	2636	2595
504	2641	2589
505	2647	2584
506	2651	2578
507	2658	2574
508	2663	2568
509	2668	2563
510	2674	2559
511	2679	2553
512	2684	2548
513	2690	2543
514	2695	2538
515	2699	2532
516	2705	2527
517	2709	2521
518	2714	2516
519	2720	2510
520	2725	2505
521	2730	2500
522	2736	2495
523	2742	2490
524	2746	2485
525	2751	2479
526	2757	2474
527	2761	2468
528	2766	2463
529	2772	2458
530	2777	2452
531	2782	2447
532	2788	2442
533	2793	2437
534	2798	2432
535	2803	2427
536	2808	2421
537	2813	2415
538	2818	2410
539	2823	2405
540	2827	2399
541	2833	2394
542	2838	2388
543	2843	2383
544	2849	2378
545	2854	2373
546	2859	2368
547	2865	2363
548	2869	2357
549	2874	2352
550	2880	2346
551	2884	2341
552	2890	2336
553	2895	2330
554	2901	2326
555	2906	2320
556	2912	2316
557	2917	2310
558	2922	2305
559	2927	2300
560	2932	2294
561	2937	2289
562	2941	2283
563	2947	2278
564	2952	2272
565	2956	2267
566	2962	2261
567	2967	2256
568	2971	2251
569	2976	2245
570	2981	2240
571	2986	2234
572	2992	2229
573	2998	2225
574	3003	2220
575	3009	2214
576	3014	2209
577	3019	2204
578	3024	2198
579	3029	2193
580	3034	2188
581	3039	2183
582	3044	2177
583	3049	2172
584	3054	2166
585	3059	2161
586	3064	2155
587	3068	2150
588	3073	2144
589	3079	2139
590	3084	2134
591	3090	2129
592	3096	2125
593	3101	2119
594	3107	2114
595	3112	2109
596	3118	2104
597	3125	2100
598	3130	2095
599	3136	2090
600	3141	2085
601	3147	2080
602	3154	2076
603	3160	2072
604	3167	2067
605	3173	2063
606	3180	2058
607	3185	2054
608	3191	2048
609	3197	2044
610	3203	2039
611	3209	2034
612	3214	2029
613	3219	2023
614	3225	2019
615	3231	2014
616	3237	2009
617	3242	2004
618	3247	1999
619	3253	1993
620	3259	1989
621	3264	1984
622	3270	1978
623	3276	1974
624	3281	1969
625	3287	1963
626	3293	1959
627	3298	1953
628	3303	1948
629	3309	1943
630	3315	1938
631	3321	1934
632	3328	1929
633	3334	1924
634	3339	1919
635	3345	1915
636	3350	1909
637	3356	1904
638	3363	1900
639	3369	1895
640	3375	1890
641	3381	1885
642	3388	1881
643	3394	1876
644	3398	1870
645	3403	1865
646	3408	1859
647	3413	1854
648	3418	1849
649	3423	1843
650	3428	1838
651	3434	1833
652	3440	1828
653	3445	1822
654	3449	1817
655	3455	1812
656	3460	1806
657	3466	1801
658	3472	1796
659	3478	1791
660	3484	1786
661	3489	1781
662	3495	1776
663	3501	1771
664	3507	1766
665	3512	1761
