start_date_pre,end_date_pre,ip_address_pre,duration_sec_pre,response_id_pre,LocationLatitude_pre,LocationLongitude_pre,DistributionChannel_pre,UserLanguage_pre,participant_id,age_pre,gender_pre,occupation_pre,teaching_marketing_pre,teaching_experience_pre,learning_style_pre,learning_format_pre,interaction_preference_pre,trusted_learning_method_pre,ai_familiarity_pre,ddp_familiarity_pre,data_sources_pre,persona_definition_pre,interactive_persona_pre,data_driven_persona_pre,dynamic_persona_pre,tableau_usage_pre,api_usage_pre,ml_application_pre,persona_explanation_pre,confirmation_pre,start_date_post,end_date_post,ip_address_post,duration_sec_post,response_id_post,LocationLatitude_post,LocationLongitude_post,DistributionChannel_post,UserLanguage_post,data_collection_explanation_post,data_analysis_explanation_post,persona_building_explanation_post,Unnamed: 43,evaluation_explanation_post,ai_familiarity_post,ddp_familiarity_post,data_sources_post,persona_definition_post,interactive_persona_post,data_driven_persona_post,dynamic_persona_post,tools_usage_post,api_usage_post,ml_application_post,engagement_experience_post,interaction_quality_post,communication_clarity_post,trustworthiness_post,emotional_response_post,naturalness_post,effectiveness_post,comfort_level_post,personalization_post,mental_effort_post,persona_definition_pre_grade,persona_definition_post_grade,persona_definition_grade_comparison,interactive_persona_pre_grade,interactive_persona_post_grade,interactive_persona_grade_comparison,data_driven_persona_pre_grade,data_driven_persona_post_grade,data_driven_persona_grade_comparison,dynamic_persona_pre_grade,dynamic_persona_post_grade,dynamic_persona_grade_comparison,data_collection_explanation_post_grade,data_analysis_explanation_post_grade,persona_building_explanation_post_grade,evaluation_explanation_post_grade,group_class
2/13/25 0:10,2/13/25 0:16,193.166.113.18,372,R_8GBoA0i1k6yogS1,63.1198,21.6798,0,0,1,60,1,1,1,20,3,"3,4","3,4","2,3,4",12,10,4,1,2,2,1,[ ' know ' ],"[ "" [ ' know ' ] "" ]","[ "" [ ' know ' ] "" ]",[ ' know ' ],0,2025-02-13 0:56:11,2025-02-13 1:18:59,193.166.113.18,1368,R_8QL21bpDcdbdtJ4,63.1198,21.6798,0,0,"[ "" collect studen ' demographic datum , datum study progression , i.e. , course , grade . "" , ' information collect study register . ' , ' ask consent provide feedback perceive course ( e.g. , course feedback ) . ' , ' allow , like ask online behaviour . ' , ' sufficient datum maybe participant . ' ]","[ ' datum clean . ' , ' achieve high quality datum . ' , ' privacy issue consider . ' , ' data need cluster , combine validate . ' ]","[ ' cluster combining , personas summarize order profile . ' , ' idea group similar student . ' , ' profiile description persona visualize form . ' , ' AI create dynamic persona , learn new datum , evolve student evolve . ' ]",1,"[ ' evaluation e.g. , traditional / b testing method . ' , ' personas validate frequently . ' ]",4,4,All of the above,0,1,0,0,"[ ' communicate personas user . ' , ' visualize personas user . ' ]",[ ' relevant datum obtain . ' ],"[ ' e.g. , cluster combine datum . ' ]",5,1,7,2,2,1,6,6,1,4,Correct,Not Correct,DECLINED,Correct,Correct,SAME,Correct,Not Correct,DECLINED,Correct,Not Correct,DECLINED,HIGH,LOW,HIGH,MEDIUM,Chatbot
2/13/25 0:09,2/13/25 0:16,193.166.113.32,409,R_8QG2UV0Zv0fKVB5,63.1198,21.6798,0,0,23,41,1,2,2,0,"1,3,4","2,4","3,4","2,3,4",10,1,4,1,2,2,1,"[ ' know tool , answer . ' ]","[ "" [ ' clue . ' ] "" ]","[ "" [ ' clue . ' ] "" ]",[ ' clue . ' ],0,2025-02-13 0:56:02,2025-02-13 1:13:21,193.166.113.32,1039,R_8QrAaCxxXwbpxvL,63.1198,21.6798,0,0,"[ ' user analytic : Google analytic , CRM , api etc . ' ]","[ ' segmentation perform persona reflect certain behavioural pattern and/or base common background / psychological , demogrraphic , socio - economics like . ' , ' segmantation apply analytical method K - Means Hierarchical clustering . ' ]","[ "" way create student persona identify possible share challenge target group ( actual student ) use challenge start point create persona ' profile . \n\n "" , ' sorry formulation question complicate sure ask ( explanation survey help ) ' ]",2,"[ ' 1 ) teach marketing course . \n ' , ' 2 ) participate marketing course student . ' , ' background different . ' , ' feel aspect take grant questions.\n ' , "" , evaluation persona term accuracy usefulness compare persona ' profile relevance real life phenomena . "" , ' way find contrast marketing campaign base persona effective ( e.g. lead expect high sale ) .    ' ]",2,2,All of the above,0,1,0,0,[ ' illustrate ( update ) static persona profile . ' ],[ ' clue API . ' ],[ ' create dynamic persona . ' ],4,2,4,4,2,4,4,2,2,6,Correct,Not Correct,DECLINED,Correct,Correct,SAME,Correct,Not Correct,DECLINED,Correct,Not Correct,DECLINED,LOW,HIGH,LOW,HIGH,Chatbot
2/13/25 0:09,2/13/25 0:17,193.166.113.31,462,R_8tHW5RDZd4yBkcx,63.1198,21.6798,0,0,22,45,1,2,1,3,"1,3","3,4","3,4","2,3,4",11,10,"1,3",1,5,2,5,"[ "" know . "" ]","[ ' [ "" don\'t know api stand . "" ] ' ]","[ ' [ "" don\'t know . "" ] ' ]","[ "" know . "" ]",0,2025-02-13 10:06:34,2025-02-13 10:19:38,193.166.113.31,784,R_2kRKZFGiWHUQidw,63.1198,21.6798,0,0,"[ ' need quantitative datum , obtain survey , online analytic , user behaviour datum . ' , ' datum diverse representative avoid bias . ' ]","[ ' statistical analysis require . ' , ' include cluster technique ( e.g. hierachical clustering , k - mean , LCA / LPA ) . ' , ' idea extract vary segment datum . ' ]","[ ' stage , craft persona profile comes play . ' , ' distinction personas base variation datum segmentation basic demographic , behavioural pattern , goal challenge . ' , ' good persona represent segment , advise relatable present human way . ' , ' visual persona emphatic , ' ]",3,"[ ' crucial step persona building validate personas . ' , "" example carry validity check real student , revisit data persona reliable appear outdate . "" ]",3,4,All of the above,0,2,0,1,[ ' visualise persona . ' ],[ ' not know API stand . ' ],"[ "" know . "" ]",3,4,6,6,1,4,5,3,4,5,Correct,Not Correct,DECLINED,Not Correct,Not Correct,SAME,Correct,Not Correct,DECLINED,Not Correct,Correct,IMPROVED,MEDIUM,HIGH,HIGH,HIGH,Deepfake
2/13/25 0:11,2/13/25 0:17,193.166.113.21,355,R_8462bTis2cTNcii,63.1198,21.6798,0,0,19,39,1,2,1,1,"1,2,3,4","3,4","3,4","2,3,4",12,1,4,1,5,2,5,[ ' nan ' ],"[ "" [ ' nan ' ] "" ]","[ "" [ ' nan ' ] "" ]",[ ' nan ' ],0,2025-02-13 0:55:51,2025-02-13 1:11:01,193.166.113.21,909,R_2M3diy3SR17ual3,63.1198,21.6798,0,0,"[ ' data source : Attendance , group task evaluation , self learn task evaluation ,    class participation , grade , interaction fellow student , class room observation , \n ' , ' : class room interaction , result , student engagement activity \nHow : datum class period , old class room datum datum set rigrous ' ]","[ ' clustering , matrix pattern , AI software cluster individual base certain characteristic behaviour . ' ]",[ ' use datum build representative personas category identify pattern ' ],4,"[ ' test exist network persona represent certain pattern relatable group characteristics.\n ' , ' external validation outside party ' ]",4,5,All of the above,0,1,0,0,[ ' datum analysis ' ],[ ' collect datum ' ],"[ ' great deal . ' , ' help process large datum ro create persona ' ]",6,6,6,4,2,3,6,1,4,4,Correct,Not Correct,DECLINED,Not Correct,Correct,IMPROVED,Correct,Not Correct,DECLINED,Not Correct,Not Correct,SAME,HIGH,MEDIUM,MEDIUM,MEDIUM,Chatbot
2/13/25 0:09,2/13/25 0:18,193.166.117.7,551,R_824J8ZB9ZGfOu8t,63.1198,21.6798,0,0,15,38,2,2,2,0,"1,2,4",4,"3,4",2,12,1,5,5,5,5,5,[ ' - ' ],"[ "" [ ' - ' ] "" ]","[ "" [ ' - ' ] "" ]",[ ' - ' ],0,2025-02-13 0:55:35,2025-02-13 1:19:16,193.166.117.7,1421,R_2KPeTVjwHtRdvU7,63.1198,21.6798,0,0,"[ ' -age , job , demographic datum , behave interact\n - interview , survey , observation , analytic tool , CRM , API ' ]","[ "" -clustere student accord goal , challenge , share interest , motivation , demographic , psychographic , behaviors\n - analytic tool mention , remember "" ]",[ ' -making descriptive profile poster persona share employee ' ],5,"[ ' -personas static update regularly new trend information , ensure datum collect biased , outdated incorrect\n - care integrity reliability ' ]",4,2,All of the above,0,1,0,0,[ ' poster persona access datum ( communicate persona ) ' ],"[ ' analysis ? ' , "" know API . "" ]","[ ' develop personas new information available ? ' , ' extract relevant information . ' ]",4,2,3,3,1,4,3,6,1,6,Not Correct,Not Correct,SAME,Not Correct,Correct,IMPROVED,Not Correct,Not Correct,SAME,Not Correct,Not Correct,SAME,MEDIUM,MEDIUM,LOW,MEDIUM,Chatbot
2/13/25 0:10,2/13/25 0:18,193.166.108.65,503,R_8nILfCbV7DT317z,63.1092,21.5936,0,0,13,25,2,2,2,0,"1,4",4,"3,4","2,3,4",12,10,5,1,5,2,1,[ ' - ' ],"[ "" [ ' - ' ] "" ]","[ "" [ ' - ' ] "" ]",[ ' - ' ],0,2025-02-13 0:56:06,2025-02-13 1:21:14,193.166.108.65,1507,R_2jdOizB2yhyWoGx,63.1092,21.5936,0,0,"[ ' datum collect qualitative quantitative . ' , ' quantitative method day include example different analytic student , demographic information . ' , ' , qualitative datum , collect interview , anecdote , observation going need . ' , ' datum include example challenge goal student , capture key element typical behavior student create realistic persona typical marketing course student . ' , ' datum learning style student beneficial create student persona . ' , ' , persona update collect datum include different trend etc . , "" expire "" . ' , ' data collection , , regard legal aspect , GDPR . ' ]","[ ' datum segment base key characteristic student , example utilize analytical method , Matrix factoring cluster analysis separate different group learner . ' , ' , separate user type tailor persona . ' ]","[ ' persona profile brief summary key characteristic student - example slide a4 description picture Canva tool . ' , ' profile create e.g. give persona name , backstorie , include goal challenge persona - make human - like . ' , ' include typical behavior . ' ]",6,"[ ' evaluation persona internally externally . ' , ' internal testing mean analytical test external e.g. user testing / b - testing . ' , '    quality datum play big role , lack datum create sufficient student persona work real - life situation , classroom . ' , ' reason poor datum reliance quantitative datum . ' ]",4,3,All of the above,0,1,0,0,[ ' create persona description . ' ],[ ' data collection . ' ],[ ' data collection . ' ],3,2,6,4,1,2,6,4,3,6,Correct,Not Correct,DECLINED,Not Correct,Correct,IMPROVED,Correct,Not Correct,DECLINED,Correct,Not Correct,DECLINED,HIGH,HIGH,HIGH,HIGH,Chatbot
2/13/25 0:10,2/13/25 0:19,85.76.76.143,518,R_2dXtd952juNtA5k,60.2149,24.799,0,0,7,47,2,3,2,0,"1,3","3,4",3,"2,3,4",13,1,5,1,5,5,5,"[ "" know "" ]","[ "" [ ' idea ' ] "" ]","[ "" [ ' beat ' ] "" ]","[ ' ethical . ' , ' people difficult remember machine act like people real people , manipulation people . ' ]",0,2025-02-13 0:55:44,2025-02-13 1:25:36,85.76.76.143,1792,R_2Vr512AJd8swyeX,60.2149,24.799,0,0,"[ ' multiple kind datum , user analytic , market survey , social medium metric , observation , interview , focus group . ' , "" good measurable metric ( i.e. quantitative ) usually typical , enrich qualitative research datum . "" , ' datum revisit refresh time personas static . ' , ' student persona case marketing course datum collect cover readily available datum marketing student Vaasa . ' , "" , teach assignment university , know actual data source apply case . "" , ' , key info obtain e.g. study goal & specific challenge , learn preference , course select , career plan etc . , personal information e.g. age , gender ( demographic ) ' ]","[ ' datum analyse different clustering method , K - mean hierarchical clustering , order demographic , psychographic behavioural segment synthesize datum . ' , ' NLP . ' ]","[ ' segment turn persona profile powerpoint canva . ' , ' persona give actual character profile picture , include condensed info characterize key aspect relate marketing course student segment . ' , ' age , gender , learn goal , study style , specific motivation challenge . ' ]",7,"[ ' evaluation cover internal & external validation , / b testing .    ' ]",4,5,All of the above,0,1,0,0,[ ' create persona profile . ' ],[ ' data collection . ' ],[ ' persona profile creation datum . ' ],4,4,3,4,2,2,3,5,2,7,Correct,Not Correct,DECLINED,Not Correct,Correct,IMPROVED,Not Correct,Not Correct,SAME,Not Correct,Not Correct,SAME,HIGH,HIGH,HIGH,MEDIUM,Chatbot
2/13/25 0:11,2/13/25 0:19,193.166.113.6,487,R_2DYADIupQ1S6J8F,63.1198,21.6798,0,0,12,39,2,2,1,5,3,3,3,4,12,1,5,1,5,2,5,[ ' idea . ' ],"[ "" [ ' idea . ' ] "" ]","[ "" [ ' idea . ' ] "" ]",[ ' idea . ' ],0,2025-02-13 10:06:47,2025-02-13 10:21:16,193.166.113.6,868,R_2JEZZFhi751EYmw,63.1198,21.6798,0,0,"[ ' collect example demographic datum age , gender location target goup , behavioural datum educational background academic career interest , background marketing , learn preference . ' , ' use survey collect information motivation , goal challenge emotion target group associate course . ' , ' aim collect datum able describe "" typical student "" . ' ]","[ ' guess use basic statistical method use segmentation general . ' , ' study material specific advanced method new , non - negative metrix factorization elbow approach mention . ' , ' able understand able use , need study lot . ' ]","[ ' basicly synthezise key attribute segment create vivid human - like description fictional persona 1 2 page . ' , ' addition syntezising , persona , picture , describe background , goal , feeling etc . ' , ' create narrative study journey imaginative student . ' ]",8,"[ ' key evaluate accurateness persona user feedback . ' , ' order feed - use quantitative qualitative method . ' , ' compare profile reel user analytic . ' ]",4,5,"Surveys and interviews,Behavioral data from apps",0,2,0,1,[ ' maybe synhesize datum create document describe persona . ' ],[ ' idea . ' ],[ ' maybe compare personas real user analytic enhance . ' ],6,6,6,6,2,6,6,2,5,6,Correct,Not Correct,DECLINED,Not Correct,Not Correct,SAME,Correct,Not Correct,DECLINED,Not Correct,Correct,IMPROVED,HIGH,MEDIUM,HIGH,HIGH,Deepfake
2/13/25 0:09,2/13/25 0:19,193.166.108.69,632,R_8m1Ou9kltVx56Vz,63.1092,21.5936,0,0,4,44,1,1,1,12,"2,3","3,4",4,"2,4",12,10,4,1,2,2,1,[ ' idea . ' ],"[ "" [ ' idea . ' ] "" ]","[ ' [ "" help evolve update base one\ target audience niche consumer base . "" ] ' ]","[ "" - need correct target niche persona effective . \n "" , ' - understanding challenge pain point target niche persona reflect accurately . \n ' , ' - measure effectiveness\n - evolve change consumer need \n - single persona brand company need , lot manage . ' ]",0,2025-02-13 10:06:36,2025-02-13 10:25:03,193.166.108.69,1106,R_8hSk7lSbck7nRfu,63.1092,21.5936,0,0,"[ ' datum collect : 1 ) need demographic information ( age , gender , location , etc . ) ; 2 ) student background ( major , previous education , etc . ) ; 3 ) behavioral datum ( course participation , online interaction ) ; 4 ) preference ( learn style , content engagement , etc.).\n ' , ' collect : use : 1)automate system evolve online interaction ; 2 ) social medium analytic ; , 3 ) focus group . \n ' , ' : sample need large produce statistically significant datum ensure representativeness . ' ]","[ ' segment datum attribute : 1 ) cluster behavior demographic ( e.g. , age ) ; 2 ) statistical algorithm identify patterns\n\nYou need diverse segment illustrative range student .    ' ]","[ ' need persona encapsulate need characteristic group , persona , image detail description goal pattern behavior.\n\n ' ]",9,"[ ' need test persona real decision feedback.- ask student stakeholder validate persona experience . ' , ' need continuous datum collection evaluation demographic behavior pattern change . \n\n ' , ' persona important help teacher create : psychological engagement ( empathy student learn ) ; focus user goal teaching ; challenge assumption ( i.e. , challenger teacher assumption student ) ; promote inclusivity ; , facilitate user - center design .    ' ]",2,3,All of the above,0,1,0,0,"[ ' possibly , begin roughly build image description individual persona segment analysis . ' ]","[ ' possibly track user pattern , demographic preference . ' ]","[ ' help collect behavioral data preference develop cluster datum behavior demographic . ' , ' , likely help develop statistically significant pattern segmentation . ' ]",5,6,6,3,1,6,5,2,4,2,Correct,Not Correct,DECLINED,Correct,Correct,SAME,Correct,Not Correct,DECLINED,Correct,Not Correct,DECLINED,HIGH,HIGH,MEDIUM,HIGH,Deepfake
2/13/25 0:10,2/13/25 0:20,193.166.113.43,599,R_83pqGRKBhCMAliU,63.1198,21.6798,0,0,25,61,4,2,2,10,3,4,4,3,10,1,5,5,5,5,5,"[ "" know , pls tell "" ]","[ ' [ "" don\'t know , pls tell "" ] ' ]","[ ' [ "" don\'t know , pls tell "" ] ' ]","[ "" know , pls tell "" ]",0,2025-02-13 0:56:12,2025-02-13 1:08:27,193.166.113.43,735,R_8QmNSUbmrzjvVS6,63.1198,21.6798,0,0,"[ ' depend purpose , ok marketing , marketing ? sound little "" tungettelevaista "" collect "" use""\n= > don\'t know ' ]",[ ' ? ' ],"[ ' sorry , difficulty contribute , contex wide , need limitation ' ]",10,"[ ' issue , want sell car market restaurant , accurate . ' , ' collect datum random ? ? ' ]",2,2,Skip. I do not know,0,0,0,0,[ ' ? ' ],[ ' api class oil gruoping ( american petroleum industry ) . ' ],[ ' ? ' ],5,2,5,5,5,5,5,3,3,4,Not Correct,Not Correct,SAME,Not Correct,Not Correct,SAME,Not Correct,Not Correct,SAME,Not Correct,Not Correct,SAME,LOW,LOW,LOW,LOW,Chatbot
